,county,sex,xiang,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m011,m012,m015,m016,m017,m018,m021,m022,m023,m025,m027,m028,m029,m030,m031,m033,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m048,m049,m058,m059,m060,m061,m062,m063,m064,m065,m066,m067,m068,m069,m070,m071,m072,m073,m074,m075,m077,m086,m087,m088,m103,m104,m105,m106,m107,m113,m117
209,JA,M,3,16.19,229.83,143.46,378.95,15.79,76.71,269.46,15.0,109.49,79.65,153.9,313.62,11.57,226.06,2.98,10.79,35.42,11.71,5.55,8.28,228.69,167.93,25.7,2.76,65.45,3.08,20.4,,,,7.91,5.95,4.37,3.47,5.83,10.51,9.17,2.08,2.78,8.16,1.92,2.46,23.44,24.27,18.09,0.56,118.11,7.6,74.01,45.09,257.31,41.46,9.1,217.69,32.14,119.63,49.74,10.26,30.33,,,39.26,,80.96,61.56,19.4,19.3,8.29
212,JA,F,3,16.18,219.09,165.91,388.52,12.64,67.93,288.12,11.82,100.4,81.57,161.92,206.42,14.88,148.71,2.18,4.03,13.37,11.38,3.84,4.3,163.35,98.68,15.35,1.21,33.93,0.29,,8.41,11.06,20.93,5.6,3.36,2.55,3.37,7.92,6.74,5.57,2.76,3.69,6.72,1.98,3.29,28.58,40.82,16.81,0.21,95.13,6.51,102.62,51.39,251.98,47.58,12.24,223.47,34.33,78.85,24.62,4.42,22.43,11.89,10.09,36.94,2.08,80.89,62.87,18.02,15.01,6.4
215,JA,T,3,16.19,224.46,154.69,383.74,14.21,72.32,278.79,13.41,104.95,80.61,157.91,260.02,13.23,187.39,2.58,7.41,24.39,11.55,4.7,6.29,196.02,133.31,20.52,1.98,49.69,1.69,,,,,6.75,4.66,3.46,3.42,6.88,8.63,7.37,2.42,3.23,7.44,1.95,2.88,26.01,32.55,17.45,0.39,106.62,7.05,88.32,48.24,254.65,44.52,10.67,220.58,33.23,99.24,37.18,7.34,26.38,,,38.1,,80.92,62.22,18.71,17.16,7.34
218,JB,M,3,31.58,220.62,216.55,637.85,21.12,85.46,507.13,20.07,130.72,105.64,326.76,378.39,13.96,263.85,6.82,8.35,12.21,15.04,4.49,12.73,128.79,130.81,36.77,1.61,58.2,11.16,24.58,,,,4.79,3.97,4.02,3.11,18.64,11.53,5.5,0.48,3.49,12.36,2.95,2.97,26.95,37.88,15.75,1.23,201.85,11.13,92.82,78.51,635.28,71.88,28.79,561.03,39.2,172.35,70.59,19.89,58.76,,,121.31,,157.88,135.17,22.7,66.77,46.11
221,JB,F,3,35.04,209.14,230.0,691.78,14.77,79.24,563.84,13.75,127.94,102.12,360.34,242.03,16.86,146.57,9.15,8.06,3.11,12.74,2.7,5.08,57.31,62.39,18.21,1.97,23.95,1.2,,11.94,12.7,41.2,2.95,4.57,2.17,2.88,22.14,6.83,4.6,1.21,2.12,19.99,2.81,6.04,57.02,36.43,22.57,2.71,155.23,17.28,125.73,97.01,416.4,89.59,25.34,370.29,43.98,98.56,25.02,12.14,46.94,15.68,12.07,116.99,3.43,175.21,147.93,27.28,62.99,44.75
224,JB,T,3,33.31,214.88,223.28,664.82,17.95,82.35,535.49,16.91,129.33,103.88,343.55,310.21,15.41,205.21,7.99,8.21,7.66,13.89,3.6,8.91,93.05,96.6,27.49,1.79,41.08,6.18,,,,,3.87,4.27,3.09,3.0,20.39,9.18,5.05,0.84,2.81,16.18,2.88,4.5,41.98,37.16,19.16,1.97,178.54,14.21,109.28,87.76,525.84,80.73,27.07,465.66,41.59,135.46,47.8,16.02,52.85,,,119.15,,166.55,141.55,24.99,64.88,45.43
227,KB,M,3,7.59,76.49,148.82,215.25,19.62,91.73,136.8,18.51,78.45,110.91,28.45,168.41,1.73,99.19,0.84,6.23,0.0,25.38,8.2,7.91,91.43,355.15,20.05,3.31,219.97,1.09,65.18,,,,3.05,12.11,4.85,7.58,1.59,14.35,12.99,0.0,1.02,8.22,2.41,0.39,1.09,30.96,25.08,1.73,176.58,6.49,64.64,13.65,383.12,12.73,36.49,324.41,9.99,158.83,30.77,14.17,51.29,,,26.61,,37.93,28.59,9.33,15.88,1.19
230,KB,F,3,9.08,63.21,81.14,194.16,9.8,57.71,138.97,9.41,55.19,39.78,41.96,87.64,3.02,60.98,0.92,0.0,0.0,11.01,3.09,6.82,32.54,78.25,17.22,0.83,63.92,0.0,,21.18,9.11,47.7,1.31,4.38,1.49,5.47,2.35,19.19,17.0,0.0,1.31,6.53,1.41,1.33,3.89,24.2,16.62,0.49,87.86,6.04,53.28,24.95,216.21,21.49,9.48,197.75,13.5,100.02,10.05,1.31,32.26,1.81,0.0,39.96,0.48,45.41,33.89,11.52,15.59,2.03
233,KB,T,3,8.34,69.85,114.98,204.71,14.71,74.72,137.89,13.96,66.82,75.34,35.2,128.03,2.38,80.08,0.88,3.12,0.0,18.2,5.64,7.37,61.99,216.7,18.64,2.07,141.94,0.55,,,,,2.18,8.24,3.17,6.53,1.97,16.77,15.0,0.0,1.17,7.38,1.91,0.86,2.49,27.58,20.85,1.11,132.22,6.27,58.96,19.3,299.67,17.11,22.99,261.08,11.75,129.43,20.41,7.74,41.77,,,33.29,,41.67,31.24,10.43,15.74,1.61
236,KC,M,3,4.86,66.42,159.65,179.58,17.84,83.17,106.72,17.19,72.86,64.94,35.78,421.43,4.65,201.8,0.63,4.52,134.8,19.94,6.15,9.9,105.37,148.38,77.35,3.68,144.26,7.22,68.38,,,,7.67,7.19,2.37,3.63,0.96,12.1,12.1,0.65,1.08,11.84,1.65,1.85,5.88,7.28,34.81,0.73,112.89,11.12,52.13,15.0,405.17,13.59,26.43,336.58,4.68,66.77,26.48,5.07,17.39,,,20.65,,24.28,13.73,10.55,5.9,0.0
239,KC,F,3,3.28,59.31,108.3,125.64,10.94,57.07,72.54,10.43,53.09,51.83,22.22,268.34,3.22,55.91,0.5,2.34,177.07,17.12,3.27,3.67,27.11,54.18,73.72,2.29,66.66,2.52,,17.33,9.48,6.75,6.67,1.98,3.23,7.25,1.51,6.73,5.56,0.96,1.73,6.11,1.3,0.82,7.23,11.52,11.32,0.32,91.52,5.79,38.15,10.9,208.81,9.53,9.93,177.97,1.93,46.13,4.02,2.33,19.4,1.52,0.0,13.94,0.51,16.38,8.84,7.54,3.06,0.12
242,KC,T,3,4.07,62.87,133.97,152.61,14.39,70.12,89.63,13.81,62.98,58.38,29.0,344.88,3.94,128.86,0.57,3.43,155.94,18.53,4.71,6.79,66.24,101.28,75.53,2.99,105.46,4.87,,,,,7.17,4.58,2.8,5.44,1.24,9.42,8.83,0.81,1.41,8.97,1.48,1.33,6.56,9.4,23.07,0.53,102.2,8.46,45.14,12.95,306.99,11.56,18.18,257.27,3.3,56.45,15.25,3.7,18.39,,,17.29,,20.33,11.29,9.04,4.48,0.06
245,LA,M,3,12.66,148.6,167.38,318.95,22.18,98.54,269.07,21.48,49.88,70.51,153.14,552.35,14.7,400.71,6.04,16.4,0.0,22.31,6.13,20.56,282.34,96.75,15.78,10.39,143.06,1.4,23.62,,,,0.72,0.0,3.77,1.61,3.06,11.7,8.99,1.81,1.86,6.3,3.02,1.38,17.45,39.92,22.8,1.9,219.74,4.4,81.89,50.83,328.01,49.1,27.73,264.52,31.56,232.26,119.53,6.05,68.06,,,32.75,,63.3,58.03,5.26,21.22,12.72
248,LA,F,3,11.45,134.55,172.83,300.73,12.33,65.99,245.72,11.81,55.0,52.54,133.84,277.59,10.3,187.18,5.25,8.23,0.0,13.0,2.2,14.09,61.48,31.0,8.26,2.64,43.41,0.97,,7.92,9.61,25.55,2.31,2.36,2.98,0.39,4.2,15.31,3.57,1.04,2.69,11.38,2.39,2.82,17.39,26.13,17.17,1.16,177.77,10.21,61.23,46.11,201.9,45.34,22.98,163.16,28.02,111.46,41.39,3.84,48.54,9.63,12.69,27.22,1.27,57.23,53.18,4.06,17.63,9.72
251,LA,T,3,12.05,141.58,170.11,309.84,17.25,82.27,257.39,16.64,52.44,61.53,143.49,414.97,12.5,293.94,5.65,12.31,0.0,17.66,4.17,17.32,171.91,63.88,12.02,6.52,93.23,1.19,,,,,1.52,1.18,3.38,1.0,3.63,13.51,6.28,1.43,2.27,8.84,2.71,2.1,17.42,33.02,19.99,1.53,198.76,7.31,71.56,48.47,264.95,47.22,25.36,213.84,29.79,171.86,80.46,4.95,58.3,,,29.98,,60.27,55.61,4.66,19.43,11.22
254,LB,M,3,5.75,127.32,148.97,203.64,21.53,89.34,146.74,20.66,56.9,87.07,64.59,380.53,5.92,321.75,2.55,10.42,1.14,16.19,7.09,20.55,321.4,119.57,25.79,5.73,138.92,0.8,37.63,,,,2.13,2.76,4.12,3.64,3.65,10.45,4.47,0.37,1.31,10.66,4.88,2.83,10.47,49.08,22.77,1.2,393.86,9.45,93.89,21.16,206.1,19.86,7.75,181.41,12.45,161.51,62.94,5.41,31.44,,,29.2,,28.75,25.51,3.24,8.27,1.16
257,LB,F,3,6.19,94.94,124.71,186.88,9.75,52.7,134.79,9.13,52.09,62.43,59.32,130.65,4.53,108.03,2.24,2.26,0.24,10.96,3.1,6.75,161.45,39.3,14.48,2.17,30.34,0.0,,14.61,9.26,12.36,1.92,1.42,2.62,3.13,5.21,3.99,2.85,0.49,0.24,10.61,2.52,3.68,17.27,24.41,18.26,0.34,185.62,10.27,66.01,24.25,79.57,23.86,3.55,72.77,11.43,61.48,14.42,0.85,17.53,3.69,5.26,20.44,0.88,30.97,26.98,3.99,7.34,1.04
260,LB,T,3,5.97,111.13,136.84,195.26,15.64,71.02,140.77,14.9,54.5,74.75,61.96,255.59,5.23,214.89,2.4,6.34,0.69,13.58,5.09,13.65,241.42,79.44,20.14,3.95,84.63,0.4,,,,,2.02,2.09,3.37,3.39,4.43,7.22,3.66,0.43,0.78,10.63,3.7,3.26,13.87,36.74,20.52,0.77,289.74,9.86,79.95,22.71,142.84,21.86,5.65,127.09,11.94,111.49,38.68,3.13,24.49,,,24.82,,29.86,26.25,3.62,7.8,1.1
263,LC,M,3,4.23,91.2,144.45,169.09,17.79,61.94,115.22,16.71,53.87,108.24,36.93,185.24,3.05,144.08,2.75,0.58,5.64,16.41,9.42,18.27,166.51,505.38,28.27,6.86,157.25,1.72,32.19,,,,3.78,2.14,2.85,2.28,0.33,17.28,10.26,1.35,0.93,9.19,1.22,2.38,7.57,29.8,4.0,0.8,68.96,8.39,52.61,14.6,160.54,13.36,18.88,129.74,11.0,114.96,43.99,16.87,19.56,,,11.1,,21.17,19.25,1.92,4.68,0.64
266,LC,F,3,4.88,58.34,132.15,161.87,10.66,47.57,123.28,9.88,38.59,77.51,39.57,157.44,7.26,127.75,1.54,2.84,0.0,8.9,3.32,7.45,69.89,120.06,17.16,2.61,50.65,1.25,,15.47,12.15,16.61,3.41,3.05,2.5,6.44,0.0,13.99,8.5,1.72,4.61,9.37,1.34,3.9,15.22,21.93,4.52,0.47,83.61,8.9,49.89,19.98,110.48,15.8,14.27,88.65,12.98,88.44,19.08,6.09,11.85,7.55,7.95,13.88,1.34,24.39,22.18,2.21,5.32,1.2
269,LC,T,3,4.56,74.77,138.3,165.48,14.22,54.76,119.25,13.3,46.23,92.88,38.25,171.34,5.16,135.92,2.15,1.71,2.82,12.66,6.37,12.86,118.2,312.72,22.71,4.74,103.95,1.49,,,,,3.6,2.6,2.68,4.36,0.17,15.64,9.38,1.54,2.77,9.28,1.28,3.14,11.4,25.87,4.26,0.64,76.28,8.65,51.25,17.29,135.51,14.58,16.57,109.2,11.99,101.7,31.54,11.48,15.71,,,12.49,,22.78,20.71,2.06,5.0,0.92
272,LD,M,3,7.12,99.09,169.02,226.64,20.72,80.04,165.34,19.35,61.3,137.4,54.73,398.18,8.09,352.28,3.37,9.14,0.0,29.77,6.72,19.65,297.5,88.21,22.5,14.6,157.76,6.16,33.43,,,,4.11,5.9,3.42,3.09,11.76,6.11,4.58,0.96,0.94,5.27,2.93,0.97,18.29,51.52,28.39,0.19,164.51,5.08,128.83,21.46,240.83,20.78,9.13,204.88,16.58,199.82,91.48,5.37,47.31,,,21.76,,35.61,32.51,3.1,6.36,1.09
275,LD,F,3,6.74,91.72,200.83,237.21,9.58,45.24,148.78,8.79,88.43,78.72,48.72,117.97,5.68,85.15,2.75,2.53,0.0,16.44,3.39,7.62,174.78,35.95,13.88,4.68,44.0,0.0,,11.44,13.64,14.17,3.91,3.25,3.3,1.9,14.35,2.78,0.78,0.24,1.63,8.84,1.59,2.84,17.59,26.83,14.91,0.62,88.12,8.22,70.46,21.05,102.33,19.66,8.52,83.5,16.47,68.52,19.24,3.23,24.31,3.79,7.27,19.03,0.72,33.69,29.94,3.75,4.63,0.57
278,LD,T,3,6.93,95.41,184.93,231.93,15.15,62.64,157.06,14.07,74.87,108.06,51.73,258.07,6.88,218.72,3.06,5.83,0.0,23.11,5.05,13.63,236.14,62.08,18.19,9.64,100.88,3.08,,,,,4.01,4.58,3.36,2.5,13.05,4.45,2.68,0.6,1.28,7.05,2.26,1.91,17.94,39.18,21.65,0.41,126.31,6.65,99.65,21.26,171.58,20.22,8.83,144.19,16.52,134.17,55.36,4.3,35.81,,,20.4,,34.65,31.23,3.43,5.5,0.83
281,MB,M,3,19.74,161.61,169.81,425.21,14.3,72.84,340.0,13.07,85.21,122.57,175.46,325.86,8.45,240.06,5.19,3.9,2.79,16.21,1.75,14.33,12.84,48.35,16.8,1.18,53.03,0.0,3.18,,,,3.44,4.95,7.5,3.26,12.38,4.82,0.0,3.41,1.95,10.52,2.08,1.03,29.93,24.32,16.09,0.96,130.6,9.56,77.79,72.69,317.12,66.8,26.5,266.88,44.14,219.05,37.23,8.55,39.88,,,96.53,,98.7,88.11,10.59,28.39,14.51
284,MB,F,3,17.58,137.28,159.11,381.22,13.18,113.93,317.8,11.81,63.42,136.3,160.32,243.56,10.6,194.59,2.97,1.06,0.0,12.66,1.45,4.21,2.82,28.15,11.08,1.34,21.38,0.0,,1.03,13.28,46.45,1.03,0.0,5.92,3.35,15.52,0.73,0.0,3.19,3.49,13.49,2.34,5.32,47.58,27.62,24.61,1.98,123.48,11.52,110.3,69.7,340.09,62.64,18.53,313.98,34.46,114.54,21.69,9.87,48.56,10.65,17.99,71.25,2.52,87.88,77.27,10.6,20.04,10.24
287,MB,T,3,18.66,149.45,164.46,403.22,13.74,93.39,328.9,12.44,74.31,129.44,167.89,284.71,9.53,217.33,4.08,2.48,1.4,14.44,1.6,9.27,7.83,38.25,13.94,1.26,37.2,0.0,,,,,2.23,2.48,6.71,3.31,13.95,2.78,0.0,3.3,2.72,12.01,2.21,3.18,38.76,25.97,20.35,1.47,127.04,10.54,94.05,71.2,328.61,64.72,22.52,290.43,39.3,166.8,29.46,9.21,44.22,,,83.89,,93.29,82.69,10.6,24.21,12.38
290,MC,M,3,13.39,195.89,126.99,319.81,19.2,78.98,239.39,18.08,80.43,112.38,122.23,293.62,9.01,233.92,6.65,11.54,0.0,14.86,4.55,8.27,36.88,171.19,32.59,4.81,159.44,1.26,8.99,,,,3.06,7.5,2.61,5.61,9.12,1.15,1.15,3.34,6.5,8.48,2.5,3.57,19.97,31.6,10.81,0.0,160.11,8.48,90.17,51.71,417.65,49.16,10.69,376.5,34.79,302.56,45.2,0.0,28.12,,,46.4,,66.95,57.22,9.72,11.87,4.5
293,MC,F,3,14.28,178.73,147.42,339.28,13.3,72.62,274.23,12.43,65.04,86.71,148.58,277.91,14.93,222.2,6.35,5.6,0.0,10.0,1.64,4.72,12.75,38.83,14.65,1.34,33.3,0.0,,6.34,7.82,35.13,0.0,1.02,3.61,0.0,11.17,3.62,1.47,2.63,5.29,17.35,1.7,9.31,24.17,26.88,2.78,2.03,88.24,15.32,81.89,63.54,405.22,57.16,8.0,370.69,26.47,120.83,26.64,2.15,29.95,6.19,7.24,42.91,1.08,71.39,61.04,10.35,11.44,3.38
296,MC,T,3,13.84,187.31,137.2,329.55,16.25,75.8,256.81,15.25,72.74,99.55,135.41,285.77,11.97,228.06,6.5,8.57,0.0,12.43,3.09,6.5,24.82,105.01,23.62,3.07,96.37,0.63,,,,,1.53,4.26,3.11,2.81,10.14,2.39,1.31,2.98,5.9,12.92,2.1,6.44,22.07,29.24,6.79,1.01,124.18,11.9,86.03,57.63,411.44,53.16,9.35,373.6,30.63,211.69,35.92,1.07,29.04,,,44.66,,69.17,59.13,10.04,11.65,3.94
299,MD,M,3,18.23,156.25,164.76,399.26,15.3,92.62,307.74,13.48,91.53,182.16,141.36,244.27,5.41,178.54,2.39,0.0,1.76,10.22,1.63,13.38,9.15,49.32,6.38,1.95,54.36,0.0,8.55,,,,1.76,7.43,1.75,0.0,11.64,7.57,7.57,0.67,4.57,6.14,2.54,0.85,0.0,35.74,31.79,0.0,160.44,6.14,93.98,66.48,294.97,65.47,11.36,258.04,33.27,279.15,42.4,8.76,30.14,,,69.93,,91.17,76.43,14.74,31.09,6.96
302,MD,F,3,23.11,168.72,174.57,478.14,13.56,74.4,375.66,12.19,102.48,136.21,185.2,293.65,11.09,204.93,5.11,4.35,0.0,11.92,1.67,7.16,1.91,55.12,10.13,0.0,13.9,0.0,,1.91,19.9,48.7,0.0,0.0,0.0,3.73,17.94,6.78,4.24,0.0,2.09,12.89,1.87,4.75,1.91,28.85,22.8,0.0,127.4,12.89,59.29,96.31,361.63,86.3,39.78,280.33,27.29,143.41,19.0,2.94,27.69,12.65,20.55,85.51,2.03,115.56,94.69,20.88,34.3,8.01
305,MD,T,3,20.67,162.49,169.66,438.7,14.43,83.51,341.7,12.84,97.01,159.19,163.28,268.96,8.25,191.74,3.75,2.17,0.88,11.07,1.65,10.27,5.53,52.22,8.26,0.97,34.13,0.0,,,,,0.88,3.71,0.88,1.86,14.79,7.18,5.91,0.34,3.33,9.52,2.21,2.8,0.95,32.3,27.3,0.0,143.92,9.52,76.64,81.4,328.3,75.89,25.57,269.19,30.28,211.28,30.7,5.85,28.92,,,77.72,,103.37,85.56,17.81,32.7,7.49
308,,M,3,23.77,234.98,211.5,527.53,17.94,80.98,433.3,16.38,94.22,156.15,186.8,416.51,11.12,318.51,9.8,4.65,0.0,19.28,2.56,33.18,8.27,75.94,6.07,5.75,77.16,4.47,26.05,,,,6.24,5.92,2.75,3.84,10.62,7.5,4.26,1.36,2.04,14.83,1.8,6.29,19.12,18.88,6.71,2.8,124.53,12.03,55.63,70.86,475.54,67.15,22.96,412.42,57.97,223.75,85.41,29.5,48.41,,,65.35,,118.84,107.16,11.68,44.79,8.36
311,,F,3,18.26,366.44,213.82,487.77,11.17,58.46,410.9,10.45,76.88,72.1,182.88,226.08,19.24,184.8,13.42,5.24,0.0,11.09,1.13,7.46,2.68,40.81,4.07,0.53,9.97,1.39,,4.17,10.22,17.4,4.72,1.28,3.16,0.92,17.71,3.93,2.38,1.18,1.96,26.07,1.87,14.29,30.83,18.14,11.15,0.9,122.02,25.17,64.54,64.57,351.8,60.37,13.06,320.37,58.29,100.8,41.25,7.55,23.13,17.34,12.66,47.14,2.16,91.31,82.03,9.28,28.43,5.63
314,,T,3,21.02,300.71,212.66,507.65,14.56,69.72,422.1,13.41,85.55,114.13,184.84,321.3,15.18,251.66,11.61,4.95,0.0,15.19,1.84,20.32,5.47,58.38,5.07,3.14,43.56,2.93,,,,,5.48,3.6,2.96,2.38,14.17,5.71,3.32,1.27,2.0,20.45,1.84,10.29,24.98,18.51,8.93,1.85,123.28,18.6,60.09,67.72,413.67,63.76,18.01,366.4,58.13,162.28,63.33,18.52,35.77,,,56.24,,105.08,94.59,10.48,36.61,7.0
317,NB,M,3,24.0,233.76,226.12,538.93,14.73,74.79,456.06,13.55,82.86,118.48,252.47,454.11,21.93,307.97,7.01,14.19,0.6,10.31,1.41,23.48,5.63,43.72,4.19,3.48,35.51,5.77,6.14,,,,0.76,4.21,2.7,0.76,12.28,9.22,3.82,1.53,1.44,15.25,1.61,4.36,24.36,12.56,2.78,2.74,116.99,12.51,43.9,72.56,331.61,69.18,36.04,243.3,44.94,238.96,127.09,8.53,15.56,,,60.51,,120.02,110.44,9.58,41.46,14.72
320,NB,F,3,26.55,257.38,214.05,575.19,13.31,65.09,499.97,12.78,75.22,52.87,288.48,378.48,30.08,264.78,6.42,9.66,0.0,8.74,1.2,17.29,1.56,24.06,5.76,0.27,16.94,0.0,,6.07,9.93,26.72,0.0,0.0,1.25,0.0,16.33,4.38,0.71,1.44,0.79,17.3,1.9,8.27,47.42,33.09,7.04,0.64,93.38,16.66,96.9,96.07,338.81,91.12,33.65,260.28,49.31,184.03,101.61,7.34,7.62,13.26,22.4,66.91,1.93,132.77,122.77,10.0,37.85,14.44
323,NB,T,3,25.28,245.57,220.09,557.06,14.02,69.94,478.02,13.17,79.04,85.67,270.48,416.3,26.0,286.38,6.71,11.93,0.3,9.53,1.3,20.39,3.6,33.89,4.98,1.88,26.23,2.88,,,,,0.38,2.1,1.98,0.38,14.3,6.8,2.27,1.49,1.11,16.28,1.76,6.32,35.89,22.83,4.91,1.69,105.19,14.59,70.4,84.31,335.21,80.15,34.84,251.79,47.13,211.5,114.35,7.93,11.59,,,63.71,,126.4,116.61,9.79,39.66,14.58
