,county,sex,xiang,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m011,m012,m015,m016,m017,m018,m021,m022,m023,m025,m027,m028,m029,m030,m031,m033,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m048,m049,m058,m059,m060,m061,m062,m063,m064,m065,m066,m067,m068,m069,m070,m071,m072,m073,m074,m075,m077,m086,m087,m088,m103,m104,m105,m106,m107,m113,m117
95,DB,F,3,7.98,142.27,207.31,273.05,17.45,102.11,229.99,17.0,43.05,44.55,142.66,160.52,25.41,81.73,4.17,14.93,0.0,8.16,6.29,1.77,410.74,105.33,14.88,0.28,21.63,1.38,,13.33,9.24,29.37,1.96,1.18,1.63,2.47,2.32,13.75,12.34,4.19,4.87,21.06,5.37,10.46,57.76,81.24,41.83,0.91,349.14,20.15,187.5,46.8,191.0,43.39,8.55,165.39,11.42,116.53,41.92,11.68,27.85,11.15,6.87,22.78,1.33,39.88,35.58,4.3,9.83,6.23
104,DC,F,3,5.65,128.78,168.42,213.79,12.02,75.37,179.24,11.49,34.55,53.68,79.28,111.65,10.48,63.86,3.12,6.06,0.0,6.96,4.03,4.49,194.06,68.95,11.15,0.78,28.23,0.5,,6.89,5.54,51.71,2.71,7.6,2.84,0.43,2.82,8.81,5.05,1.41,4.81,23.31,2.59,6.41,38.91,39.52,11.51,5.94,121.13,17.37,137.4,27.52,173.1,21.58,17.06,133.66,24.06,109.93,17.71,5.47,34.24,10.18,12.66,16.97,1.46,28.26,25.25,3.02,8.4,6.64
113,EA,F,3,9.01,102.79,127.24,230.75,14.48,59.57,200.98,14.08,29.77,39.19,106.95,108.38,6.65,61.39,3.8,8.35,0.0,9.32,2.5,6.2,14.75,85.79,16.06,0.58,24.19,0.73,,26.9,17.54,33.86,4.33,2.71,1.82,2.01,2.42,4.58,2.61,1.88,4.88,14.52,2.03,7.84,48.3,26.58,9.64,2.37,106.91,12.15,96.01,44.34,665.43,38.3,11.0,610.96,7.33,87.39,21.78,7.14,23.24,6.03,5.76,23.57,1.13,45.03,42.11,2.92,16.71,9.54
122,FA,F,3,8.52,103.36,179.84,254.02,14.64,76.79,235.58,14.35,18.44,28.5,136.45,119.3,15.98,55.11,16.88,17.18,0.0,8.42,1.83,5.74,13.15,47.15,11.03,0.42,14.85,0.48,,23.31,22.92,27.78,1.87,1.37,3.39,6.43,3.65,5.35,4.91,2.22,5.2,15.22,3.5,10.24,57.65,38.24,47.02,1.62,197.76,13.6,152.49,48.64,535.68,45.64,10.93,441.4,16.69,124.03,31.9,14.41,48.16,8.53,11.02,17.13,1.76,42.6,41.16,1.45,11.26,6.62
131,GA,F,3,9.46,105.71,123.42,235.89,8.14,37.4,206.16,7.69,29.72,45.13,128.48,63.31,10.39,34.04,7.64,4.9,0.0,10.85,1.28,2.97,11.08,26.13,8.07,0.43,9.19,1.38,,14.62,9.15,28.99,0.0,2.22,2.86,1.39,1.46,1.38,1.38,1.16,2.12,13.46,1.87,5.34,29.74,32.78,19.99,0.66,86.97,12.8,99.72,60.22,316.04,55.55,4.51,299.36,7.43,35.97,7.18,3.45,9.47,4.86,7.89,28.08,2.31,47.31,44.91,2.4,8.89,3.12
149,IA,F,3,8.96,108.53,107.84,220.64,8.68,54.17,164.24,8.31,56.4,36.51,86.24,128.72,8.15,53.59,2.31,6.48,0.0,9.51,2.53,3.88,99.93,40.88,11.05,0.46,22.41,1.24,,7.67,9.9,36.06,1.87,3.99,2.87,3.54,4.08,8.41,6.57,2.72,2.37,13.82,0.95,4.33,27.59,16.32,6.55,1.94,42.29,11.89,52.37,26.6,193.88,23.21,18.87,151.59,14.5,91.21,26.95,6.83,27.56,4.43,4.89,37.4,1.25,44.8,32.6,12.21,8.78,4.19
158,IB,F,3,16.5,178.94,125.68,358.71,14.21,69.21,271.46,13.78,87.25,42.44,153.51,145.18,11.53,73.54,5.36,7.65,0.83,12.0,5.41,5.2,311.27,93.76,8.66,1.88,39.59,0.37,,7.64,10.13,26.44,1.5,7.87,2.77,4.69,10.94,8.9,5.35,4.32,5.52,13.05,2.04,6.16,35.58,35.75,10.23,0.34,115.07,12.72,89.05,46.81,297.11,42.21,20.31,242.0,28.73,130.56,33.75,1.81,24.98,6.93,5.97,56.02,1.9,82.52,63.63,18.89,18.3,9.75
167,IC,F,3,9.19,134.3,112.56,233.95,13.22,63.25,126.63,12.6,107.32,62.32,62.8,104.6,8.7,58.11,3.2,8.94,18.83,10.95,7.22,7.09,341.47,205.86,21.71,0.61,63.87,4.23,,10.65,11.37,28.81,4.12,4.09,3.55,2.09,0.0,1.83,1.83,2.14,3.57,7.39,1.95,2.0,13.71,17.85,5.13,0.0,135.51,7.39,59.95,16.26,106.48,14.66,0.0,94.27,7.58,68.94,19.75,0.93,8.76,5.57,1.35,26.37,1.87,45.94,24.7,21.24,9.33,2.76
176,ID,F,3,18.01,197.19,131.99,389.06,12.0,61.02,260.67,11.67,128.39,32.34,141.39,123.9,9.28,74.87,3.38,4.03,0.81,10.9,4.61,2.81,199.35,120.93,17.51,0.7,28.92,1.4,,11.8,9.26,27.58,3.82,8.73,4.0,5.08,8.35,7.02,5.47,3.32,10.22,15.02,2.56,6.02,61.15,28.51,20.67,0.87,129.66,14.14,126.2,52.74,200.99,48.74,15.53,173.2,19.32,75.91,15.65,2.26,17.25,7.56,2.36,50.09,1.19,90.05,61.51,28.55,18.42,7.1
185,IE,F,3,8.51,62.71,81.65,186.13,6.24,38.03,142.34,6.05,43.79,19.17,59.7,58.92,6.81,43.47,2.29,4.78,0.0,13.54,2.3,2.41,9.38,51.19,12.05,5.43,65.35,0.47,,23.99,15.22,12.61,3.05,2.08,2.07,3.6,5.6,5.77,4.2,2.19,7.13,8.16,1.21,0.74,13.95,22.45,12.03,0.87,61.37,7.3,59.47,34.05,90.43,27.32,4.2,82.73,9.67,61.41,10.65,4.07,6.02,1.52,0.65,52.44,1.05,42.54,33.03,9.51,10.43,3.95
194,IF,F,3,13.5,111.74,86.25,274.05,6.96,43.05,209.57,6.73,64.47,22.56,76.93,76.81,5.88,49.86,1.46,5.0,0.19,12.33,2.33,3.03,19.42,56.26,10.64,1.97,52.99,2.3,,19.49,11.78,26.22,3.98,3.24,4.29,5.35,10.56,7.58,5.45,2.51,4.99,12.69,1.28,0.0,10.68,6.73,5.03,1.54,77.78,11.15,50.28,25.07,113.2,21.56,3.73,87.34,8.0,63.11,4.94,1.26,8.93,1.53,1.12,60.34,0.58,67.49,54.22,13.28,25.73,9.06
